Channel ID,Channel URL,Channel title
UC9o1F_8M5B1hZ00posMaY0g,http://www.youtube.com/channel/UC9o1F_8M5B1hZ00posMaY0g,Trading with Groww
UC9vycSfjzLCR_w1C59VQo5A,http://www.youtube.com/channel/UC9vycSfjzLCR_w1C59VQo5A,Physics
UCA295QVkf9O1RQ8_-s3FVXg,http://www.youtube.com/channel/UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV
UCAezwIIm1SfsqdmbQI-65pA,http://www.youtube.com/channel/UCAezwIIm1SfsqdmbQI-65pA,Data Council
UCAhDB7L1iNrq11nZe-mwQjw,http://www.youtube.com/channel/UCAhDB7L1iNrq11nZe-mwQjw,WAVES BITS Goa
UCAlwrsgeJavG1vw9qSFOUmA,http://www.youtube.com/channel/UCAlwrsgeJavG1vw9qSFOUmA,AIM
UCAq9f7jFEA7Mtl3qOZy2h1A,http://www.youtube.com/channel/UCAq9f7jFEA7Mtl3qOZy2h1A,Data with Zach
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCB7P9Hr5BYB5Mkxau6t3Sgw,http://www.youtube.com/channel/UCB7P9Hr5BYB5Mkxau6t3Sgw,The Lumineers
UCBNG0osIBAprVcZZ3ic84vw,http://www.youtube.com/channel/UCBNG0osIBAprVcZZ3ic84vw,Jim Browning
UCBPRJjIWfyNG4X-CRbnv78A,http://www.youtube.com/channel/UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
UCBVjMGOIkavEAhyqpxJ73Dw,http://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5
UCBa5G_ESCn8Yd4vw5U-gIcg,http://www.youtube.com/channel/UCBa5G_ESCn8Yd4vw5U-gIcg,Stanford Online
UCBqvATpjSubtNxpqUDj4_cA,http://www.youtube.com/channel/UCBqvATpjSubtNxpqUDj4_cA,Anshuman Sharma
UCBzj4s6y8tUwfj01nF8Mfeg,http://www.youtube.com/channel/UCBzj4s6y8tUwfj01nF8Mfeg,Placement Grid
UCC552Sd-3nyi_tk2BudLUzA,http://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE
UCCKwT30KrDn0txYHSNIqeBw,http://www.youtube.com/channel/UCCKwT30KrDn0txYHSNIqeBw,Expert Motivation
UCCZ0qWNb_WRsjj6mTgSBw1w,http://www.youtube.com/channel/UCCZ0qWNb_WRsjj6mTgSBw1w,Synchronoise BITS Goa Acapella
