Comment ID,Channel ID,Comment create timestamp,Price,Video ID,Comment text
UgzbaNU-ep9ibJo9WSV4AaABAg,UCpECmc2QYPxhyqBEWfhiGRA,2020-03-28T06:29:11.578652+00:00,0,YiPSEblAuOo,"{""text"":""The house points were important in this book maybe because the author emphasize on \""gryffindor losing the house cup for past 7 years or so\"" .""}"
UgyDY2bh27hD43nXFYN4AaABAg,UCpECmc2QYPxhyqBEWfhiGRA,2020-03-02T04:54:08.149999+00:00,0,VzulEIwGtSs,"{""text"":""bhai \u003c3""}"
UghjQGJobDdhJ3gCoAEC,UCpECmc2QYPxhyqBEWfhiGRA,2016-09-28T16:20:57.4+00:00,0,riJnA3aAlpw,"{""text"":""awesome...video.....!!!☺☺""}"
UggxEe8kM3Ym1HgCoAEC,UCpECmc2QYPxhyqBEWfhiGRA,2016-07-10T11:54:32.98+00:00,0,eYqEpuifLI8,"{""text"":""awesome....""},{""text"":""\n""},{""text"":""best ad i've ever seen....!!!!""}"





